Text: возможные, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: генотипы, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: и, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: фенотипы, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: сыновей, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: Да, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: аномалия, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: развития, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: кисти, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: без, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: гипертрихоза, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: хар, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: развитие, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: кисти, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: без, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: гипертрихоза, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: В, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: первом, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: браке, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: возможно, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: рождение, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: ребенка, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: сына, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: с, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: нормальным, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: разбитием, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: кисти, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: и, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: с, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: гипертрихозе, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: (харав)., Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: генотипе, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: этого, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: ребенка, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: содержатся, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: материнская, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: хромосома, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: с, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: рецессивным, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: аллелям, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: и, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: отцовск, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
Text: -с, Number: 22, Confidence: 0.46, Bbox: [0.7805252075195312, 10.89907169342041, 2261.27099609375, 1467.4307861328125]
