Text: no26., Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Древние, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: предки, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: современных, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: сумчатых, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: обитали, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: в, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Южной, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: америке, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Так, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: как, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: в, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Южной, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Америке, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: преобладает, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: влажный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: климат, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: и, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: устье, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: джунгли, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: малым, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: сумчатый, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: легче, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Большинство, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: предков, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: сумчатых, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: млекопитающих, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: питались, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: насекомыми, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: были, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: хищниками, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: В, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: настоящее, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: время, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: сумчатые, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: млекопитающие, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: питаются, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: no24., Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: На, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рисунке, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: отображен, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: безусловный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: слюноотделения, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: и, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: отсутствует, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: безразличный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: раздражитель, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Под, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: цифрой, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: расположен, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекторный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: центр, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: безусловного, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: слюноотделительного, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекса, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: Безусловный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: отмечается, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: от, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: инстинкта, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: тем, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: что, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: безусловный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекс, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: приобретенный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: признак, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: а, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: инстинкт, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: ав, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рожденный, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: -с, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: элементы, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: рефлекторной, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: душ, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: к, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: собаке, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: подносят, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
Text: раздра, Number: 24, Confidence: 0.30, Bbox: [26.43979835510254, 955.33056640625, 2276.383544921875, 2342.82958984375]
