Text: увеличилось, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: -с, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: но, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: фаз, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: после, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: добавления, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: препарата, Number: 22, Confidence: 0.37, Bbox: [5.76353645324707, 33.92271423339844, 2305.83447265625, 2583.574951171875]
Text: впосле, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: алча, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: во, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: всех, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: опытах, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: количество, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: лидсских, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: частиц, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: практически, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: не, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: изме, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: гналось, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: количество, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: вирусных, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: частиц, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: увеличивается, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: но, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: препарат, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: разрушает, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: их, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: -с, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: метод, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: микроскопии, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: ав, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: микроскоп, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: можно, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: двигать, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: целостность, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: вербены, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: частиц, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: метод, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: меченых, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: ата, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: мов, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: если, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: мечены, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: атомы, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: будут, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: находится, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: в, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: вирусах, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: по, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: после, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: их, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: сборки, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
Text: в, Number: 25, Confidence: 0.45, Bbox: [7.105990409851074, 230.5723419189453, 2305.0048828125, 2577.9140625]
