Text: злостность, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: 0,000, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: затопления, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурии, Number: none, Confidence: none, Bbox: none
Text: 9999, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: 09999, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: встречаемость, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: заболевания, Number: none, Confidence: none, Bbox: none
Text: (фенилкетнеры), Number: none, Confidence: none, Bbox: none
Text: 10.006, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурия, Number: none, Confidence: none, Bbox: none
Text: аллель, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: аутосомно-рецессивному, Number: none, Confidence: none, Bbox: none
Text: типу, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: нормальный, Number: none, Confidence: none, Bbox: none
Text: аллель, Number: none, Confidence: none, Bbox: none
Text: А, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: нормальных, Number: none, Confidence: none, Bbox: none
Text: аллелей, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: частота, Number: none, Confidence: none, Bbox: none
Text: булатных, Number: none, Confidence: none, Bbox: none
Text: аллейейгетерозаготы, Number: none, Confidence: none, Bbox: none
Text: или, Number: none, Confidence: none, Bbox: none
Text: заснозиготы, Number: none, Confidence: none, Bbox: none
Text: более, Number: none, Confidence: none, Bbox: none
Text: устойчивы, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: выживании, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: отображен, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: ри, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: Также, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: нам, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: безразличный, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: находится, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: промежуточном, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: Безусловные, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: завязаны, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: нервной, Number: none, Confidence: none, Bbox: none
Text: системе, Number: none, Confidence: none, Bbox: none
Text: Инстинкты, Number: none, Confidence: none, Bbox: none
Text: завязаны, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: гуморальной, Number: none, Confidence: none, Bbox: none
Text: системе, Number: none, Confidence: none, Bbox: none
Text: Раздражение, Number: none, Confidence: none, Bbox: none
Text: вкусовых, Number: none, Confidence: none, Bbox: none
Text: рецепторов, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: языке, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Передача, Number: none, Confidence: none, Bbox: none
Text: шипунья, Number: none, Confidence: none, Bbox: none
Text: го, Number: none, Confidence: none, Bbox: none
Text: чувствительному, Number: none, Confidence: none, Bbox: none
Text: нейрону, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: промежуточный, Number: none, Confidence: none, Bbox: none
Text: возгл, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: передача, Number: none, Confidence: none, Bbox: none
Text: вне, Number: none, Confidence: none, Bbox: none
Text: нервного, Number: none, Confidence: none, Bbox: none
Text: импульса, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: промежуточного, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: слюноотделительные, Number: none, Confidence: none, Bbox: none
Text: железы, Number: none, Confidence: none, Bbox: none
Text: промежуточного, Number: none, Confidence: none, Bbox: none
Text: мозга, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: слюновыделительные, Number: none, Confidence: none, Bbox: none
Text: лелезы., Number: none, Confidence: none, Bbox: none
