Text: оплошно, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: много, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: все, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: бланки, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: и, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: контрольные, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: измерительные, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: материалы, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: рассматриваются, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: в, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: комплекте, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: Задание, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: Отрицательный, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: контролем, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: измерить, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: количество, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: вирусных, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: клеток, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: до, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: препарата, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: без, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: Остальные, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: параше, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: ставить, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: изменений, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: -с, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: Такой, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: отрицательный, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: контроль, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: поможет, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: в, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: явном, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: виде, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: установить, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: влияние, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: препарата, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: на, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
Text: комитетов, Number: 22, Confidence: 0.41, Bbox: [10.429891586303711, 41.599647521972656, 2281.39306640625, 1421.67431640625]
