Text: отрицательный, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: контроль, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: подрамок, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: умывает, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: не, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: подвергать, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: экспериментальным, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: воздействиям, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: объект, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: при, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: сохранении, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: всех, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: остальных, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: условий, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: Экспериментатор, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: не, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: адекватно, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: поставил, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: отрицательный, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: контроль, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: отожму, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: что, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: сохранив, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: все, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: остальные, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: условия, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: он, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: подверг, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: изучаемый, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: объект, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: экспериментальным, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: воздействиям, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: д, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: добавляя, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: к, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: клеткам, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: ротовое, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
Text: вирусный, Number: 22, Confidence: 0.47, Bbox: [0.0, 0.0, 2230.463623046875, 1145.9554443359375]
