Text: влияния, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: no22., Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: в, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: основе, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: отрицательного, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: контроля, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: лежит, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: исключение, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: независимой, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: й, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: эффективность, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: лекарственного, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: препарата, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: на, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: зависимую, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: количество, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: Вирусных, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: частиц, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: для, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: проведения, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: отрицательного, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: контроля, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: необходимо, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: провести, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: ещ, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: один, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: в, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: воде, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: которого, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: в, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: образец, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: через, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: -с, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: часа, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: не, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: будут, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: вносить, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
Text: лекарственный, Number: 22, Confidence: 0.49, Bbox: [10.176714897155762, 28.66058921813965, 2309.768798828125, 1209.230712890625]
