Text: хозяев, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: аналогия, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: копептрикоз, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: а, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: кисть, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гипертрофии, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: непосед, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: кросс, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: -с, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: ана, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: классическими, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гиперкуб, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: синеет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: гиперстен, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: норм, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
Text: нет, Number: 28, Confidence: 0.71, Bbox: [36.64689254760742, 28.677139282226562, 2310.0, 2590.0]
