Text: аномалия, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: кисти, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: кайтинг, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: -с, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: ответ, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: В, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: первое, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: браке, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: невозможно, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: развитие, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: ребенка, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: нормальный, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: развитие, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: кисти, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: no27., Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: с, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: гипертрихоза, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: зайдем, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: встречаемость, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: частоту, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: заболевания, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: равновесной, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: популяции, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: человека, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: 0,000л, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: проявление, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: рецессивного, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: признака, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: мутантного, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: амелия, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: частота, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: встреча, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
Text: заболевания, Number: 23, Confidence: 0.32, Bbox: [47.98352813720703, 501.3880920410156, 2310.0, 2391.900390625]
