Text: no25), Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: В, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: жирафов, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: в, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: сонных, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: артериях, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: наблюдается, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: больше, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: давление, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: из-за, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: больших, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: размеров, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: жирафа, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: и, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: высокого, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: роста, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: Из, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: Для, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: того, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: чтобы, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: доставить, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: кровать, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: к, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: далеко, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: расположенном, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: от, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: сердца, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
Text: тканям, Number: 22, Confidence: 0.32, Bbox: [3.038614273071289, 41.199134826660156, 2307.04931640625, 1317.8837890625]
