Text: Иван, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: находились, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: нынешние, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: представители, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: сделать, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: себе, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: корку, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: сумчатых, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: увеличились, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: размерах, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: у, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: них, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: появились, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: длинные, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: передние, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: и, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: раз, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: задние, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: конечности, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: что, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: позволяет, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: им, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: высоко, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: прыгать, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: и, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: быстро, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: передвигаться, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: например, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: от, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: различных, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: хищников, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: А, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: уйт, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: предков, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: конечности, Number: 22, Confidence: 0.76, Bbox: [50.20802688598633, 6.062408447265625, 2310.0, 987.6588745117188]
Text: предна, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: короткие, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: а, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: размеры, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: их, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: невелики, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: что, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: делало, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: для, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: них, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: жертвенные, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: положение, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: Они, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: становились, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: легко, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: уровне, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: для, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: более, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: е, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: кру, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: группы, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: жизненна, Number: 22, Confidence: 0.76, Bbox: [50.20802688598633, 6.062408447265625, 2310.0, 987.6588745117188]
Text: посолу, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: в, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: везут, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: результате, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: их, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: эволюции, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: произошли, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: их, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: перес, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: перечисления, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: Любому, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: виду, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: нужно, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
Text: совершенствоваться, Number: 24, Confidence: 0.32, Bbox: [13.274362564086914, 19.85034942626953, 2299.853515625, 982.150390625]
