Text: аномалия, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: з, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: ав, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: аномалия, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: ре, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: -де, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: нонами, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: кав, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
Text: -де, Number: 28, Confidence: 0.87, Bbox: [51.405738830566406, 3.460987091064453, 2310.0, 1975.5369873046875]
