Text: -де, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: ех, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: занимался, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: развития, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гипертрихоз, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: анормальное, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: развитие, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: без, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гипертралв, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: развитее, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: в, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: в, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: Ха, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: убором, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гномами, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: развития, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гипертрихоз, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: портальное, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: разв, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: без, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гиперону, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: х, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: суда, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: в, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: хау, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: гипертру, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: I, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: х, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: су-, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: а, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: в, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
Text: хау, Number: 28, Confidence: 0.72, Bbox: [0.18673324584960938, 1.462249755859375, 2275.6416015625, 1643.828125]
