Text: ние, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: количества, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: ярусных, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: частиц, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: (no1, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: с, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: -де, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: и, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: в, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: -с, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: клеточной, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: инженерии, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: позволя, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: установить, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: влияние, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: препарата, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: на, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: целостность, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
Text: вирус, Number: 22, Confidence: 0.30, Bbox: [35.7156982421875, 36.8422737121582, 2310.0, 2590.0]
