Text: вникание, Number: none, Confidence: none, Bbox: none
Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: лист, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
