Text: це, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: а, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: в, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: вернулись, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: к, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: исходному, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: количеству, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: как, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: и, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: в, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: начале, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: эксперимента, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: Метод, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: отрицательного, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: контроля, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: позволяет, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: установить, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: влияние, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: препарата, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: целостность, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: вирусных, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: частиц, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: Приспособленность, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: и, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: живучесть, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: вечеру, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: со, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: в, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: живых, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: условиях, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: -с, Number: 22, Confidence: 0.76, Bbox: [8.083128929138184, 34.720096588134766, 2309.499755859375, 906.2681884765625]
Text: На, Number: 24, Confidence: 0.49, Bbox: [10.984410285949707, 919.9144287109375, 2306.47314453125, 2590.0]
Text: рисунке, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: А, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: отображен, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: безусловный, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: рефлекс, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: смокоотримия, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: а, Number: 24, Confidence: 0.49, Bbox: [10.984410285949707, 919.9144287109375, 2306.47314453125, 2590.0]
Text: также, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: отсутствуем, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: безразличный, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: разд, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: за, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: -с, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: На, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: рисунке, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: В, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: представимой, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: рефлектор, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: ный, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: уничт, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: безусловного, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: смокоотримых, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: тельного, Number: 24, Confidence: 0.49, Bbox: [10.984410285949707, 919.9144287109375, 2306.47314453125, 2590.0]
Text: рефлекса, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: в, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: левом, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: полушарии, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: дословного, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
Text: мозга, Number: 23, Confidence: 0.33, Bbox: [17.284929275512695, 927.0362548828125, 2310.0, 2587.0771484375]
