Text: 522:, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: -с, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: Противовирусный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: препарат, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: купленный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: в, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: аптеке, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: и, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: лекарственное, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: средство, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: имеют, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: разный, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: химический, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: по-разному, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
Text: влияют, Number: 24, Confidence: 0.64, Bbox: [5.339434623718262, 2254.541748046875, 2244.488037109375, 2557.895751953125]
