Text: их, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: жизненные, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: Викин, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: различна, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: Все, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: виды, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: рык, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: синтезирую, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: дуются, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: только, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: по, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: матрице, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: донка, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: года, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: провирус, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: обратной, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: транскрипции, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: путем, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: создав, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: создает, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: донка, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: посиль, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: чего, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: уже, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: происходит, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: создание, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: году, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: созда, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: всех, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: видов, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: в, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: ранка, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: а, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: затем, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
Text: трансляция, Number: 22, Confidence: 0.74, Bbox: [0.0, 19.715795516967773, 2290.39208984375, 1351.80712890625]
