Text: Все, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материалы, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: задека, Number: none, Confidence: none, Bbox: none
Text: ватным, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: противовирусный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: купленный, Number: none, Confidence: none, Bbox: none
Text: аптеке, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: изведение, Number: none, Confidence: none, Bbox: none
Text: количества, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: образце, Number: none, Confidence: none, Bbox: none
Text: он, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: уничтожает, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отражательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: влияет, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: изменение, Number: none, Confidence: none, Bbox: none
Text: количества, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: вирусную, Number: none, Confidence: none, Bbox: none
Text: нагрузку, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: живот, Number: none, Confidence: none, Bbox: none
Text: образце, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Все, Number: none, Confidence: none, Bbox: none
Text: остальные, Number: none, Confidence: none, Bbox: none
Text: условия, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: изменяются, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: гойабрансён, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутствует, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: цифрой, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: отвесная, Number: none, Confidence: none, Bbox: none
Text: реакция, Number: none, Confidence: none, Bbox: none
Text: организма, Number: none, Confidence: none, Bbox: none
Text: чувства, Number: none, Confidence: none, Bbox: none
Text: рецепторы, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: действует, Number: none, Confidence: none, Bbox: none
Text: успо, Number: none, Confidence: none, Bbox: none
Text: киях, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: постоянных, Number: none, Confidence: none, Bbox: none
Text: Инстинкт, Number: none, Confidence: none, Bbox: none
Text: действует, Number: none, Confidence: none, Bbox: none
Text: условиях, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: чуйка, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: животных, Number: none, Confidence: none, Bbox: none
Text: то, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: чувствуют, Number: none, Confidence: none, Bbox: none
Text: Задание, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: наболит, Number: none, Confidence: none, Bbox: none
Text: древние, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: современных, Number: none, Confidence: none, Bbox: none
Text: сумчатых, Number: none, Confidence: none, Bbox: none
Text: 26., Number: none, Confidence: none, Bbox: none
Text: 1), Number: none, Confidence: none, Bbox: none
Text: Напболи, Number: none, Confidence: none, Bbox: none
Text: древние, Number: none, Confidence: none, Bbox: none
Text: предки, Number: none, Confidence: none, Bbox: none
Text: современных, Number: none, Confidence: none, Bbox: none
Text: сунчатых, Number: none, Confidence: none, Bbox: none
