Text: хауса, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: науд, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: У, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: всех, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: женщин, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: апокали, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: хара, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: а, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: за, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: апогамия, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гиперон, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: триковая, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: ответ, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: в, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: первом, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: браке, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: возможно, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: р, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: рождения, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: ребенка, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: с, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: нормальным, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развитием, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: и, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: с, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихозом, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: Это, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: возношу, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: так, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: как, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: при, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: одного, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кроссинговере, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: перепей, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гена, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: образовались, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: у, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: отца, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кроссовер, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: ная, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гамета, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: В, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: несущая, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: в, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: себе, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: ген, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: и, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: аномалии, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: А, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: так, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: как, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
Text: найма, Number: 28, Confidence: 0.52, Bbox: [24.09624671936035, 323.075439453125, 2305.42138671875, 2590.0]
