Text: продолжение, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -де, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: рецепторы, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: сетчатки, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: глаза, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: нерв, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: зрительный, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: в, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: коре, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: больших, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: полудикарей, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: пищеварительный, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: центр, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: коре, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: больших, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: полушарий, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -с, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: слюноотделительный, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: центр, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: продолговатом, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: слюнная, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: железа, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: кредиторы, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: сетчатки, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: центрлицево, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: пищеварения, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: -слюжоторый, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: центральная, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: телевик, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: початую, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: неспуберям, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
Text: сонные, Number: 22, Confidence: 0.43, Bbox: [24.56752586364746, 18.449541091918945, 2285.58935546875, 752.3235473632812]
