Text: мужчина, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: женщина, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: забава, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: с, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: нормальным, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: развитием, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: кисти, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: нет, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: гипертрихоз, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: бездне, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: аномалия, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: развития, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: кисти, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: есть, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: гипертрихоз, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: девочка, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: аномалия, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: развития, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: кисти, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: нет, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: гипертрихоза, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: ехав, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: ува, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: -с, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: мальчик, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: женщина, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: с, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: нормальным, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: развитием, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: кисти, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: есть, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: гипертрихоз, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: -с, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
Text: ехав, Number: 28, Confidence: 0.97, Bbox: [38.42036437988281, 5.8450469970703125, 2249.045166015625, 2510.7880859375]
