Text: только, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: гнию, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: с, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: моментом, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: когда, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: ввели, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: препарат, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: исто, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: -с, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: часов, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: а, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: во, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: втором, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: опыте, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: количество, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: вирусных, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: частиц, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
Text: не, Number: 24, Confidence: 0.36, Bbox: [0.0, 15.348929405212402, 2281.316650390625, 906.8822631835938]
