Text: метод, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: который, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: позволяет, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: установить, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: влияние, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: вирусных, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: частиц, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: препарата, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: на, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: целостность, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: микроскопия, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Особенности, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: жизненного, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: цикла, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: вирусов, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: могут, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: существовать, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: только, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: как, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: внутриклеточные, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: паразиты, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: имеют, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: особый, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: способ, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: размножения, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: не, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: растут, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: -де, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Безусловный, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: слюноотделения, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: и, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: отсутствие, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: безразличного, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: раздражителя, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: отображен, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: на, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: рисунке, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Рефлекторный, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: центр, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: безусловного, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: слюноотделительного, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: рефлекса, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: расположен, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: в, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: главном, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: мозгу, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: собака, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: (можтеген), Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: инстинктврожденное, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: а, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: безусловный, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: рефлекс, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: приобретенное, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: -де, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: Наиболее, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
Text: древние, Number: 24, Confidence: 0.33, Bbox: [54.25193786621094, 2252.222900390625, 2281.54736328125, 2590.0]
