Text: может, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: происходить, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: кроссинговер, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: апрель, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: гена, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: гипертрихоза, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: наследуется, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: горлан, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: учитесь, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: -с, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: развитие, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: гл, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: артроза, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: пер, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: развитие, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: виться, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: аномальное, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: без, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: гипертрихоза, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: развитие, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: Вити, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: кисти, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: -с, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
Text: аномальное, Number: 24, Confidence: 0.42, Bbox: [18.269723892211914, 2119.977294921875, 2295.110595703125, 2590.0]
