Text: вникание, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: Все, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: бланки, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: и, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: контрольные, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: измерительные, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: материалы, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: рассматриваются, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: в, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: комплекте, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: ай, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: брак, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: я, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: хау, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: Ад, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: развитие, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: нет, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: развития, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: кисти, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: гаметы, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: кроссовере, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: и, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: возможных, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: дочерей, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: до, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: -с, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
Text: нормальное, Number: 28, Confidence: 0.87, Bbox: [15.717208862304688, 77.56864929199219, 2292.54638671875, 2590.0]
