Text: Данный, Number: none, Confidence: none, Bbox: none
Text: бланк, Number: none, Confidence: none, Bbox: none
Text: использовать, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: заполнения, Number: none, Confidence: none, Bbox: none
Text: обоих, Number: none, Confidence: none, Bbox: none
Text: листов, Number: none, Confidence: none, Bbox: none
Text: основного, Number: none, Confidence: none, Bbox: none
Text: бланка, Number: none, Confidence: none, Bbox: none
Text: ответов, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: гаджет, Number: none, Confidence: none, Bbox: none
Text: панамами, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: ждет, Number: none, Confidence: none, Bbox: none
Text: акапомалка, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: венет, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: вгипертриче, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: хв, Number: none, Confidence: none, Bbox: none
Text: пет, Number: none, Confidence: none, Bbox: none
Text: аномалии, Number: none, Confidence: none, Bbox: none
Text: грохался, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: гиперстен, Number: none, Confidence: none, Bbox: none
Text: экспертах, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: Я, Number: none, Confidence: none, Bbox: none
Text: хроматин, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: кисло, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: др, Number: none, Confidence: none, Bbox: none
Text: пет, Number: none, Confidence: none, Bbox: none
Text: аномалии, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: tune, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Р, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: бэр, Number: none, Confidence: none, Bbox: none
Text: о, Number: none, Confidence: none, Bbox: none
Text: заводь, Number: none, Confidence: none, Bbox: none
Text: х, Number: none, Confidence: none, Bbox: none
Text: от, Number: none, Confidence: none, Bbox: none
Text: хату, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: адорация, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: пет, Number: none, Confidence: none, Bbox: none
Text: абсолютно, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: кисели, Number: none, Confidence: none, Bbox: none
Text: пет, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: пет, Number: none, Confidence: none, Bbox: none
Text: гипертрихоза, Number: none, Confidence: none, Bbox: none
Text: -пекроссоверные, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: кроссовере, Number: none, Confidence: none, Bbox: none
Text: нет, Number: none, Confidence: none, Bbox: none
Text: аномии, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: анкет, Number: none, Confidence: none, Bbox: none
