Text: гг, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: Отрицательный, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: контроль, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: эксперимента, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: экспериментатором, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: поставлен, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: неверно, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: При, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: установке, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: трип, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: тщательно, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: го, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: контроля, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: стоит, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: убрать, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: действие, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: независ, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: переменная, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: Независимая, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: переменная, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: в, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: экспериментевнесение, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: лечебно, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: ко, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: средства, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: противовирусного, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: препарата, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: не, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: будет, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: являться, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: отрицатель, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: контролем, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: так, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: как, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: не, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: сможем, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: в, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: льном, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: виде, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: определить, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: влияние, Number: 22, Confidence: 0.33, Bbox: [24.348928451538086, 20.1706485748291, 2289.18115234375, 2590.0]
Text: независи, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: лекарственного, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: мой, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: переменной, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: добавление, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: лечебного, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: на, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: результат, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: эксперимент, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: Винсента, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: правильный, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: отрицательный, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: контрольно, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: добавите, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: добаво, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: меть, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: лекарственное, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: сред, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: средство, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: вс, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: перем, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: Бремен, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: параметры, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: взять, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: то, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: же, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
Text: клетки, Number: 25, Confidence: 0.38, Bbox: [26.44745445251465, 513.3776245117188, 2289.68603515625, 2590.0]
