Text: -де, Number: none, Confidence: none, Bbox: none
Text: Отрицательный, Number: none, Confidence: none, Bbox: none
Text: контролируй, Number: none, Confidence: none, Bbox: none
Text: дефицита, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подвергается, Number: none, Confidence: none, Bbox: none
Text: воздействию, Number: none, Confidence: none, Bbox: none
Text: покупного, Number: none, Confidence: none, Bbox: none
Text: барственного, Number: none, Confidence: none, Bbox: none
Text: средства, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: прода, Number: none, Confidence: none, Bbox: none
Text: вжат, Number: none, Confidence: none, Bbox: none
Text: размножаться, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: является, Number: none, Confidence: none, Bbox: none
Text: адекватным, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: никакого, Number: none, Confidence: none, Bbox: none
Text: воздействия, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: продолжают, Number: none, Confidence: none, Bbox: none
Text: размножаться, Number: none, Confidence: none, Bbox: none
Text: экспериментатор, Number: none, Confidence: none, Bbox: none
Text: добавляет, Number: none, Confidence: none, Bbox: none
Text: перека, Number: none, Confidence: none, Bbox: none
Text: арат, Number: none, Confidence: none, Bbox: none
Text: чем, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: часов, Number: none, Confidence: none, Bbox: none
Text: есть, Number: none, Confidence: none, Bbox: none
Text: часть, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: данном, Number: none, Confidence: none, Bbox: none
Text: эксперименте, Number: none, Confidence: none, Bbox: none
Text: вирусов, Number: none, Confidence: none, Bbox: none
Text: разрушаются, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: следующий, Number: none, Confidence: none, Bbox: none
Text: день, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: добавление, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: таблице, Number: none, Confidence: none, Bbox: none
Text: видны, Number: none, Confidence: none, Bbox: none
Text: изменения, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: уменьшение, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: добавление, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: Биохимический, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: размножают, Number: none, Confidence: none, Bbox: none
Text: тыся, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: мутируют, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: усложняет, Number: none, Confidence: none, Bbox: none
Text: разработку, Number: none, Confidence: none, Bbox: none
Text: противовирусных, Number: none, Confidence: none, Bbox: none
Text: препаратов, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: имеют, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: анк, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: его, Number: none, Confidence: none, Bbox: none
Text: клетки, Number: none, Confidence: none, Bbox: none
Text: передают, Number: none, Confidence: none, Bbox: none
Text: е, Number: none, Confidence: none, Bbox: none
Text: внедряясь, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: хозяина, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: позволяет, Number: none, Confidence: none, Bbox: none
Text: определить, Number: none, Confidence: none, Bbox: none
Text: е, Number: none, Confidence: none, Bbox: none
Text: дальнейший, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: разрушение, Number: none, Confidence: none, Bbox: none
Text: клеток, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: усложнению, Number: none, Confidence: none, Bbox: none
Text: разработки, Number: none, Confidence: none, Bbox: none
Text: противовирусных, Number: none, Confidence: none, Bbox: none
Text: препаратов, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: изображен, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделение, Number: none, Confidence: none, Bbox: none
Text: ниях, Number: none, Confidence: none, Bbox: none
Text: Рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: продолговатом, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: выруба, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: течение, Number: none, Confidence: none, Bbox: none
Text: всей, Number: none, Confidence: none, Bbox: none
Text: жизни, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: инстинкты, Number: none, Confidence: none, Bbox: none
Text: заложены, Number: none, Confidence: none, Bbox: none
Text: п, Number: none, Confidence: none, Bbox: none
Text: генном, Number: none, Confidence: none, Bbox: none
Text: уровне, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: передаются, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: рождением, Number: none, Confidence: none, Bbox: none
Text: потомства, Number: none, Confidence: none, Bbox: none
Text: долек, Number: none, Confidence: none, Bbox: none
Text: торная, Number: none, Confidence: none, Bbox: none
Text: дуга, Number: none, Confidence: none, Bbox: none
Text: глазные, Number: none, Confidence: none, Bbox: none
Text: яблокинос-, Number: none, Confidence: none, Bbox: none
Text: языкслюнные, Number: none, Confidence: none, Bbox: none
Text: железыпродолго, Number: none, Confidence: none, Bbox: none
Text: ватный, Number: none, Confidence: none, Bbox: none
Text: мозг, Number: none, Confidence: none, Bbox: none
Text: торная, Number: none, Confidence: none, Bbox: none
Text: дуга:, Number: none, Confidence: none, Bbox: none
Text: глазные, Number: none, Confidence: none, Bbox: none
Text: яблоки-, Number: none, Confidence: none, Bbox: none
Text: нос-, Number: none, Confidence: none, Bbox: none
Text: язык-, Number: none, Confidence: none, Bbox: none
Text: слюнные, Number: none, Confidence: none, Bbox: none
Text: железы-, Number: none, Confidence: none, Bbox: none
Text: продолго, Number: none, Confidence: none, Bbox: none
Text: ватый, Number: none, Confidence: none, Bbox: none
Text: мозг,, Number: none, Confidence: none, Bbox: none
