Text: Все, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материальны, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Такой, Number: none, Confidence: none, Bbox: none
Text: отрицательный, Number: none, Confidence: none, Bbox: none
Text: контроль, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: считается, Number: none, Confidence: none, Bbox: none
Text: адекватным, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: аптечный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: также, Number: none, Confidence: none, Bbox: none
Text: мог, Number: none, Confidence: none, Bbox: none
Text: повлиять, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: черство, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: отрицательного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: важно, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: объект, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: подвергался, Number: none, Confidence: none, Bbox: none
Text: экскрет, Number: none, Confidence: none, Bbox: none
Text: экспериментальному, Number: none, Confidence: none, Bbox: none
Text: фактору, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: таком, Number: none, Confidence: none, Bbox: none
Text: случае, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: явном, Number: none, Confidence: none, Bbox: none
Text: виде, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: удаться, Number: none, Confidence: none, Bbox: none
Text: определить, Number: none, Confidence: none, Bbox: none
Text: влияние, Number: none, Confidence: none, Bbox: none
Text: лекарственного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Для, Number: none, Confidence: none, Bbox: none
Text: адекватного, Number: none, Confidence: none, Bbox: none
Text: отрицательного, Number: none, Confidence: none, Bbox: none
Text: контроля, Number: none, Confidence: none, Bbox: none
Text: необходимо, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: добавлять, Number: none, Confidence: none, Bbox: none
Text: лекарственный, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: клеткам, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: остальной, Number: none, Confidence: none, Bbox: none
Text: Остальные, Number: none, Confidence: none, Bbox: none
Text: факторы, Number: none, Confidence: none, Bbox: none
Text: нужно, Number: none, Confidence: none, Bbox: none
Text: оставить, Number: none, Confidence: none, Bbox: none
Text: неизменными, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Исходя, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: эксперимента, Number: none, Confidence: none, Bbox: none
Text: тестируемый, Number: none, Confidence: none, Bbox: none
Text: препарат, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: разрушает, Number: none, Confidence: none, Bbox: none
Text: вирусные, Number: none, Confidence: none, Bbox: none
Text: частицы, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: после, Number: none, Confidence: none, Bbox: none
Text: внесения, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: течением, Number: none, Confidence: none, Bbox: none
Text: времени, Number: none, Confidence: none, Bbox: none
Text: возрастает, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Биохимический, Number: none, Confidence: none, Bbox: none
Text: метод, Number: none, Confidence: none, Bbox: none
Text: позволит, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: установить, Number: none, Confidence: none, Bbox: none
Text: влияние, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: целостность, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Вирусы, Number: none, Confidence: none, Bbox: none
Text: способны, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: мутировать, Number: none, Confidence: none, Bbox: none
Text: образуя, Number: none, Confidence: none, Bbox: none
Text: новые, Number: none, Confidence: none, Bbox: none
Text: штаммы, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: новым, Number: none, Confidence: none, Bbox: none
Text: генетическим, Number: none, Confidence: none, Bbox: none
Text: кодом, Number: none, Confidence: none, Bbox: none
Text: устойчивым, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: препарату, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Также, Number: none, Confidence: none, Bbox: none
Text: вирусы, Number: none, Confidence: none, Bbox: none
Text: проявляют, Number: none, Confidence: none, Bbox: none
Text: признаки, Number: none, Confidence: none, Bbox: none
Text: живого, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: обнажают, Number: none, Confidence: none, Bbox: none
Text: свою, Number: none, Confidence: none, Bbox: none
Text: нуклеиновую, Number: none, Confidence: none, Bbox: none
Text: кислоту, Number: none, Confidence: none, Bbox: none
Text: только, Number: none, Confidence: none, Bbox: none
Text: внутри, Number: none, Confidence: none, Bbox: none
Text: плотни-хоряция,, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: остальных, Number: none, Confidence: none, Bbox: none
Text: случаях, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: покрыты, Number: none, Confidence: none, Bbox: none
Text: оболочкой, Number: none, Confidence: none, Bbox: none
Text: (напсидом),, Number: none, Confidence: none, Bbox: none
Text: которая, Number: none, Confidence: none, Bbox: none
Text: предотвращает, Number: none, Confidence: none, Bbox: none
Text: попадание, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: внутрь, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: На, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: А, Number: none, Confidence: none, Bbox: none
Text: изображен, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
