Text: -де, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: жирафов, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: высокое, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: высокие, Number: none, Confidence: none, Bbox: none
Text: Соединительная, Number: none, Confidence: none, Bbox: none
Text: ткань, Number: none, Confidence: none, Bbox: none
Text: платанов, Number: none, Confidence: none, Bbox: none
Text: плодное, Number: none, Confidence: none, Bbox: none
Text: они, Number: none, Confidence: none, Bbox: none
Text: желае, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: имеют, Number: none, Confidence: none, Bbox: none
Text: защитной, Number: none, Confidence: none, Bbox: none
Text: у, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: давления, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: организм, Number: none, Confidence: none, Bbox: none
Text: покается, Number: none, Confidence: none, Bbox: none
Text: вложить, Number: none, Confidence: none, Bbox: none
Text: зависание, Number: none, Confidence: none, Bbox: none
Text: происходит, Number: none, Confidence: none, Bbox: none
Text: пястной, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: зашумев, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: аба, Number: none, Confidence: none, Bbox: none
Text: фенилкетонурия, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: дано, Number: none, Confidence: none, Bbox: none
Text: гномами, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: разв, Number: none, Confidence: none, Bbox: none
Text: развитии, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: гипюр, Number: none, Confidence: none, Bbox: none
Text: психоз, Number: none, Confidence: none, Bbox: none
Text: двух-, Number: none, Confidence: none, Bbox: none
Text: Ответ, Number: none, Confidence: none, Bbox: none
Text: монотипы, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: брак, Number: none, Confidence: none, Bbox: none
Text: родителей, Number: none, Confidence: none, Bbox: none
Text: генотипы, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: фенотипы, Number: none, Confidence: none, Bbox: none
Text: потонешь, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: р, Number: none, Confidence: none, Bbox: none
Text: ув, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: аномалия, Number: none, Confidence: none, Bbox: none
Text: съемки, Number: none, Confidence: none, Bbox: none
Text: гипертрихоз, Number: none, Confidence: none, Bbox: none
Text: хочу, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: леха, Number: none, Confidence: none, Bbox: none
Text: ув, Number: none, Confidence: none, Bbox: none
Text: ухха, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: д, Number: none, Confidence: none, Bbox: none
Text: рекановский, Number: none, Confidence: none, Bbox: none
Text: Я, Number: none, Confidence: none, Bbox: none
Text: Жаном, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: резв, Number: none, Confidence: none, Bbox: none
Text: кисти, Number: none, Confidence: none, Bbox: none
Text: Кораном, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: рад, Number: none, Confidence: none, Bbox: none
Text: кисте, Number: none, Confidence: none, Bbox: none
Text: гипюр, Number: none, Confidence: none, Bbox: none
Text: ер, Number: none, Confidence: none, Bbox: none
Text: шумко, Number: none, Confidence: none, Bbox: none
Text: добряк, Number: none, Confidence: none, Bbox: none
Text: генотипы, Number: none, Confidence: none, Bbox: none
Text: род, Number: none, Confidence: none, Bbox: none
Text: ей, Number: none, Confidence: none, Bbox: none
Text: плаха, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: фат, Number: none, Confidence: none, Bbox: none
Text: так, Number: none, Confidence: none, Bbox: none
Text: гипертиреоз, Number: none, Confidence: none, Bbox: none
Text: наследуется, Number: none, Confidence: none, Bbox: none
Text: по, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: аномалий, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: мамы, Number: none, Confidence: none, Bbox: none
Text: неб, Number: none, Confidence: none, Bbox: none
Text: хл, Number: none, Confidence: none, Bbox: none
Text: уз, Number: none, Confidence: none, Bbox: none
Text: посольства, Number: none, Confidence: none, Bbox: none
Text: хаос, Number: none, Confidence: none, Bbox: none
Text: резаном, Number: none, Confidence: none, Bbox: none
Text: рад, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: Жаном, Number: none, Confidence: none, Bbox: none
Text: вразвал, Number: none, Confidence: none, Bbox: none
Text: месте, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: глобарилоза., Number: none, Confidence: none, Bbox: none
Text: месте,, Number: none, Confidence: none, Bbox: none
Text: без, Number: none, Confidence: none, Bbox: none
Text: глобарилоза., Number: none, Confidence: none, Bbox: none
