Text: Второе, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: скрещивание, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гнома, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: амия, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кета, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: а, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: а, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: нормальные, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: нет, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: нет, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: -де, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: аномалия, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: а, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: нет, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: Рождение, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: в, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: первом, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: браке, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: ребенка, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: с, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: нормальным, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: развитием, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: и, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихозом, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: возможно, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: так, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: как, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: ген, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: наследуется, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: галокурически, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: и, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: перелается, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: от, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: отца, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: к, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: сыну, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: а, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: ген, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: вития, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: наследуется, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: от, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
Text: модерн, Number: 28, Confidence: 0.96, Bbox: [16.672611236572266, 0.0, 2273.29296875, 1493.9979248046875]
