Text: воркование, Number: none, Confidence: none, Bbox: none
Text: Все, Number: none, Confidence: none, Bbox: none
Text: бланки, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: контрольные, Number: none, Confidence: none, Bbox: none
Text: измерительные, Number: none, Confidence: none, Bbox: none
Text: материалы, Number: none, Confidence: none, Bbox: none
Text: рассматриваются, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: комплекте, Number: none, Confidence: none, Bbox: none
Text: -де, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: отрицательном, Number: none, Confidence: none, Bbox: none
Text: контроле, Number: none, Confidence: none, Bbox: none
Text: изучаемый, Number: none, Confidence: none, Bbox: none
Text: объект, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: должен, Number: none, Confidence: none, Bbox: none
Text: подвергаться, Number: none, Confidence: none, Bbox: none
Text: экспериментальному, Number: none, Confidence: none, Bbox: none
Text: воздействию, Number: none, Confidence: none, Bbox: none
Text: добавление, Number: none, Confidence: none, Bbox: none
Text: противовирусного, Number: none, Confidence: none, Bbox: none
Text: препарата, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: проводимом, Number: none, Confidence: none, Bbox: none
Text: экспериментатором, Number: none, Confidence: none, Bbox: none
Text: отрицательном, Number: none, Confidence: none, Bbox: none
Text: контроле, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: количество, Number: none, Confidence: none, Bbox: none
Text: вирусных, Number: none, Confidence: none, Bbox: none
Text: частиц, Number: none, Confidence: none, Bbox: none
Text: будет, Number: none, Confidence: none, Bbox: none
Text: влиять, Number: none, Confidence: none, Bbox: none
Text: добавление, Number: none, Confidence: none, Bbox: none
Text: купленного, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: опаске, Number: none, Confidence: none, Bbox: none
Text: противовирусного, Number: none, Confidence: none, Bbox: none
