Text: внимание, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: Все, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: бланки, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: контрольные, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: измерительные, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: материалы, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: риалы, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: рассматриваются, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: в, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: комплекте, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: Задание, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: а, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: смигивание, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: каповый, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: брон, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: шальное, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: развитие, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: отсутствие, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: интересова, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: ха, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: развития, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: кист, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: аномалия, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: непроворные, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: залиты, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: -с, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: просоленные, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: генотипы, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: и, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
Text: фенотипы, Number: 28, Confidence: 0.93, Bbox: [1.273787498474121, 227.7987518310547, 2277.375244140625, 2590.0]
