Text: Так, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: как, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: исслед, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: следователь, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: проводит, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: ма, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: копуляции, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: с, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: клетками, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: значит, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: это, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: нельзя, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: назвать, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: отрицательным, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: кое-, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
Text: тролле, Number: 22, Confidence: 0.32, Bbox: [60.64211654663086, 19.475122451782227, 2310.0, 407.6776428222656]
