Text: б, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: ряблю, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: нормальная, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: кисло, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: без, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: и, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: исперхрикода, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: будут, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: модальная, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: писать, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: без, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: гипертрихозу, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: жив, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: отвечающий, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: разглажен, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: сбавляет, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: типа, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: аллель, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: отчас, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: ответ, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: да, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: возможно, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: т, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: так, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: отвечающих, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: за, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: ансамбльное, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: развитие, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: пистик, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: кое-, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
Text: весной, Number: 25, Confidence: 0.38, Bbox: [39.0554084777832, 815.65478515625, 2302.812744140625, 2096.31005859375]
