Text: условия, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: жизни, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: а, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: В, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: Австрии, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: животные, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: с, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: длинными, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: ушами, Number: 22, Confidence: 0.44, Bbox: [16.170703887939453, 18.828317642211914, 2292.026611328125, 1424.05712890625]
Text: коротким, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: подшерстком, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: и, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: с, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: конечностями, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: способные, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: врывать, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: и, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: бегать, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: эти, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: приспособлении, Number: 22, Confidence: 0.44, Bbox: [16.170703887939453, 18.828317642211914, 2292.026611328125, 1424.05712890625]
Text: характерные, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: для, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: советами, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: а, Number: 22, Confidence: 0.44, Bbox: [16.170703887939453, 18.828317642211914, 2292.026611328125, 1424.05712890625]
Text: В, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: Южной, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: лещике, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: у, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: сумчатых, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: животных, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: с, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: уши, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: откл, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: лисить, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: троицкие, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: имеется, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: умеренная, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: жировая, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: прослойка, Number: 22, Confidence: 0.44, Bbox: [16.170703887939453, 18.828317642211914, 2292.026611328125, 1424.05712890625]
Text: лапы, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: не, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: способны, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: на, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: прыжки, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: это, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: вс, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: зависит, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: от, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: территории, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: местоположение, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: образа, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: жизни, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: образа, Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
Text: жизни., Number: 24, Confidence: 0.48, Bbox: [16.249250411987305, 8.455484390258789, 2286.506591796875, 1416.1517333984375]
