Text: no24, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: слюноотделение, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: отсутствие, Number: none, Confidence: none, Bbox: none
Text: безразличного, Number: none, Confidence: none, Bbox: none
Text: раздражителе, Number: none, Confidence: none, Bbox: none
Text: отображено, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: рисунке, Number: none, Confidence: none, Bbox: none
Text: паяц, Number: none, Confidence: none, Bbox: none
Text: буквой, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: префектурный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: слюноотделительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: под, Number: none, Confidence: none, Bbox: none
Text: дидерот, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Безусловный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: врожденный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: направленный, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: один, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: всех, Number: none, Confidence: none, Bbox: none
Text: особей, Number: none, Confidence: none, Bbox: none
Text: вида, Number: none, Confidence: none, Bbox: none
Text: Он, Number: none, Confidence: none, Bbox: none
Text: проявляется, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: имеется, Number: none, Confidence: none, Bbox: none
Text: из, Number: none, Confidence: none, Bbox: none
Text: вице, Number: none, Confidence: none, Bbox: none
Text: одной, Number: none, Confidence: none, Bbox: none
Text: ответной, Number: none, Confidence: none, Bbox: none
Text: реакции, Number: none, Confidence: none, Bbox: none
Text: Инстинкт, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: безусловных, Number: none, Confidence: none, Bbox: none
Text: рефлексов, Number: none, Confidence: none, Bbox: none
Text: связанных, Number: none, Confidence: none, Bbox: none
Text: между, Number: none, Confidence: none, Bbox: none
Text: собой, Number: none, Confidence: none, Bbox: none
Text: может, Number: none, Confidence: none, Bbox: none
Text: быть, Number: none, Confidence: none, Bbox: none
Text: разряжена, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: качестве, Number: none, Confidence: none, Bbox: none
Text: нескольких, Number: none, Confidence: none, Bbox: none
Text: последовательных, Number: none, Confidence: none, Bbox: none
Text: действий, Number: none, Confidence: none, Bbox: none
Text: направленны, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: раздражитель, Number: none, Confidence: none, Bbox: none
Text: При, Number: none, Confidence: none, Bbox: none
Text: поедании, Number: none, Confidence: none, Bbox: none
Text: пищи, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: условной, Number: none, Confidence: none, Bbox: none
Text: раздражителе, Number: none, Confidence: none, Bbox: none
Text: формируется, Number: none, Confidence: none, Bbox: none
Text: временная, Number: none, Confidence: none, Bbox: none
Text: связь, Number: none, Confidence: none, Bbox: none
Text: между, Number: none, Confidence: none, Bbox: none
Text: центрами, Number: none, Confidence: none, Bbox: none
Text: зрения, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: слюноотделения, Number: none, Confidence: none, Bbox: none
Text: условный, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: подкрепляется, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: следующи, Number: none, Confidence: none, Bbox: none
Text: включении, Number: none, Confidence: none, Bbox: none
Text: света, Number: none, Confidence: none, Bbox: none
Text: слюноотделительный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: связываясь, Number: none, Confidence: none, Bbox: none
Text: с, Number: none, Confidence: none, Bbox: none
Text: центром, Number: none, Confidence: none, Bbox: none
Text: зрения, Number: none, Confidence: none, Bbox: none
Text: посылает, Number: none, Confidence: none, Bbox: none
Text: сигнал, Number: none, Confidence: none, Bbox: none
Text: сложным, Number: none, Confidence: none, Bbox: none
Text: железом, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: выходя, Number: none, Confidence: none, Bbox: none
Text: выделиться, Number: none, Confidence: none, Bbox: none
Text: июня, Number: none, Confidence: none, Bbox: none
Text: no25, Number: none, Confidence: none, Bbox: none
Text: Сонные, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: артерии, Number: none, Confidence: none, Bbox: none
Text: несщицие, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
