Text: аномалия, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: развития, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: без, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: гипертрихоза, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: сыновья, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: р, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: а, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: мономания, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: в, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: развития, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: гипертрофии, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: рихой, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: А, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: бальное, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: развитие, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: кисти, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: гипертрихоз, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
Text: -с, Number: 28, Confidence: 0.84, Bbox: [18.108184814453125, 109.21647644042969, 2272.193603515625, 2590.0]
