Text: пищеварительный, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: центр, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: головного, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: мозга, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: ампулы, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: от, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: пищеварительного, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: центра, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: идет, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: на, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: вставочный, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: нейрон, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: -с, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: Импульс, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
Text: со, Number: 22, Confidence: 0.32, Bbox: [14.993741035461426, 1.159857988357544, 2264.3740234375, 863.632080078125]
