Text: р-н, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: а, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: а, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: Отрицательный, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: контроль, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: не, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: является, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: адекватным, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: потому, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: что, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: изучаемый, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: объект, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: подвергается, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: экспериментальному, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: В, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: качестве, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: отражательного, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: контроля, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: нужно, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: заразить, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: клетки, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: человека, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: гарусом, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: и, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: наблюдать, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: за, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: нами, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.78, Bbox: [16.739795684814453, 43.78178405761719, 2281.8251953125, 859.10693359375]
Text: -с, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: Мы, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: не, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: можем, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: утверждать, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: что, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: препарат, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: разрушаем, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: вирусные, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: частицы, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
Text: так, Number: 22, Confidence: 0.33, Bbox: [57.957454681396484, 884.7884521484375, 2267.9375, 1804.8873291015625]
