Text: огодовановеденный, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: бланк, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: ИСПОЛЬЗОВАТЬ, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: ТОЛЬКО, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: о, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: после, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: заполнения, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: бланка, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: ответов, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: -с, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: а, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: лист, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: а, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: обитали, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: африке, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
Text: потому, Number: 24, Confidence: 0.32, Bbox: [32.21741485595703, 1575.6802978515625, 2290.520751953125, 2482.056884765625]
