Text: клопики, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: -де, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: Этот, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: осушительный, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: контроль, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: не, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: является, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: адекватнее, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: а, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: -с, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: навернется, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: воздействию, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: потому, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: что, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: папочный, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: препарат, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: это, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: уже, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: проверенное, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: средство, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: в, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: качестве, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: определительного, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: контроля, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: причем, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: начала, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: называть, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: и, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: следить, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
Text: консигнацией, Number: 25, Confidence: 0.31, Bbox: [2.6947879791259766, 94.43885803222656, 2300.705810546875, 2445.553466796875]
