Text: ют, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: никаких, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: признаков, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: жизни, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: Проникал, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: в, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: клетку, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: ва, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: русы, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: используют, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: фермент, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: обратная, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: транскриптаза, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: для, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: осуществления, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: обратной, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: транскрипций, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: сините, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: за, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: вирусной, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: анк, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: на, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: мойщице, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: ринк, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: клетки, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: и, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: актив, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: ного, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
Text: размножения, Number: 24, Confidence: 0.31, Bbox: [16.9035587310791, 776.1414184570312, 2310.0, 2590.0]
