Text: и, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: увеличение, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: численности, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: доминантных, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гомозигот, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: и, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гетерозигот, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: здоровой, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гомозиготный, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: женщины, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: родился, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: больной, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: сын, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: аномалия, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: разв, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: кисти, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ген, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: аномалия, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: разв, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: в, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: кисти, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: норм, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: обыч, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: волосы, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гипертрихоз, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: здоров, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ан, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: разв, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: к, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гипертрихоз, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: кроссовере, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: к, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ха-ха, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: в, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ан, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: развалка, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: а, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: бан, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: разв, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: к, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: гипертрихоз, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: а, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: в, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: электриков, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ап.разв., Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: к, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: здоров, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: -с, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: ан, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: разв, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: здоров, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: а, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: х, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
Text: у, Number: 28, Confidence: 0.86, Bbox: [30.295988082885742, 236.7668914794922, 2310.0, 2509.65234375]
