Text: Также, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: сократить, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: голово, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: гомоза, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: может, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: экологическая, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: катастрофа, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: -де, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: дано, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: аномалия, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: кисти, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: ан, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: так, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: коллизионная, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: мать, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: норма, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: кисти, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: нор, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: не, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: имела, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: заболеваний, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: а, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: сын, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: гипертрихоз, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: имеет, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
Text: то, Number: 28, Confidence: 0.83, Bbox: [39.09690475463867, 833.7990112304688, 2281.978515625, 2480.974609375]
