Text: -с, Number: none, Confidence: none, Bbox: none
Text: Различия, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: том, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: инстинкты, Number: none, Confidence: none, Bbox: none
Text: заложены, Number: none, Confidence: none, Bbox: none
Text: но, Number: none, Confidence: none, Bbox: none
Text: их, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: регулировать, Number: none, Confidence: none, Bbox: none
Text: вать, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: а, Number: none, Confidence: none, Bbox: none
Text: безусловный, Number: none, Confidence: none, Bbox: none
Text: вике, Number: none, Confidence: none, Bbox: none
Text: ревизовать, Number: none, Confidence: none, Bbox: none
Text: нельзя, Number: none, Confidence: none, Bbox: none
Text: благ, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: головк, Number: none, Confidence: none, Bbox: none
Text: вн, Number: none, Confidence: none, Bbox: none
Text: мо, Number: none, Confidence: none, Bbox: none
Text: отвеч, Number: none, Confidence: none, Bbox: none
Text: дающий, Number: none, Confidence: none, Bbox: none
Text: за, Number: none, Confidence: none, Bbox: none
Text: условные, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: зрительный, Number: none, Confidence: none, Bbox: none
Text: наречь, Number: none, Confidence: none, Bbox: none
Text: продолговатый, Number: none, Confidence: none, Bbox: none
Text: легк, Number: none, Confidence: none, Bbox: none
Text: рефлексы, Number: none, Confidence: none, Bbox: none
Text: зрительный, Number: none, Confidence: none, Bbox: none
Text: мокнул, Number: none, Confidence: none, Bbox: none
Text: железа, Number: none, Confidence: none, Bbox: none
Text: 25)(9, Number: none, Confidence: none, Bbox: none
Text: минеров, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: сонных, Number: none, Confidence: none, Bbox: none
Text: артериях, Number: none, Confidence: none, Bbox: none
Text: лях, Number: none, Confidence: none, Bbox: none
Text: артериальное, Number: none, Confidence: none, Bbox: none
Text: давление, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: того, Number: none, Confidence: none, Bbox: none
Text: чтобы, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: как, Number: none, Confidence: none, Bbox: none
Text: можно, Number: none, Confidence: none, Bbox: none
Text: быстрее, Number: none, Confidence: none, Bbox: none
Text: поступала, Number: none, Confidence: none, Bbox: none
Text: ко, Number: none, Confidence: none, Bbox: none
Text: всем, Number: none, Confidence: none, Bbox: none
Text: конечностям, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: не, Number: none, Confidence: none, Bbox: none
Text: застаивалась, Number: none, Confidence: none, Bbox: none
Text: потом, Number: none, Confidence: none, Bbox: none
Text: венозная, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: У, Number: none, Confidence: none, Bbox: none
Text: людей, Number: none, Confidence: none, Bbox: none
Text: при, Number: none, Confidence: none, Bbox: none
Text: длительном, Number: none, Confidence: none, Bbox: none
Text: патологически, Number: none, Confidence: none, Bbox: none
Text: повышенном, Number: none, Confidence: none, Bbox: none
Text: батиальном, Number: none, Confidence: none, Bbox: none
Text: давлении, Number: none, Confidence: none, Bbox: none
Text: возникает, Number: none, Confidence: none, Bbox: none
Text: отечность, Number: none, Confidence: none, Bbox: none
Text: нижних, Number: none, Confidence: none, Bbox: none
Text: конечностей, Number: none, Confidence: none, Bbox: none
Text: потому, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: арк, Number: none, Confidence: none, Bbox: none
Text: артериальная, Number: none, Confidence: none, Bbox: none
Text: кровь, Number: none, Confidence: none, Bbox: none
Text: очень, Number: none, Confidence: none, Bbox: none
Text: быстро, Number: none, Confidence: none, Bbox: none
Text: течет, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
Text: для, Number: none, Confidence: none, Bbox: none
Text: человека, Number: none, Confidence: none, Bbox: none
Text: это, Number: none, Confidence: none, Bbox: none
Text: неформал, Number: none, Confidence: none, Bbox: none
Text: я, Number: none, Confidence: none, Bbox: none
Text: виновная, Number: none, Confidence: none, Bbox: none
Text: к, Number: none, Confidence: none, Bbox: none
Text: течет, Number: none, Confidence: none, Bbox: none
Text: медленно, Number: none, Confidence: none, Bbox: none
Text: и, Number: none, Confidence: none, Bbox: none
Text: получается, Number: none, Confidence: none, Bbox: none
Text: что, Number: none, Confidence: none, Bbox: none
