Text: мазание, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: -де, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: дано, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: -с, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: Первое, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: склепывание, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: ахнет, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: в, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: развитие, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: раздел, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: пистик, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: решение, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: р, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: дамах, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
Text: х, Number: 28, Confidence: 0.91, Bbox: [729.2301635742188, 55.63860321044922, 2284.694580078125, 2582.1533203125]
