Text: номер, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: задания, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: Решение, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: ав, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: ав, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: р, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: ахах, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: нормальное, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: перетри, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гиперона, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: трихом, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: хозя, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -де, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: аномалия, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развития, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипюр, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: приходов, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: инер, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: тр, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: возом, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кроссов, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кроссовер, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: е, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: генотипы, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: дочерей, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: и, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: фенотипы, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: возможных, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: АС, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: аномалии, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развития, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: нормальное, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипертрихоз, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: хозя, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: генотипы, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: сыновей, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: и, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: и, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: фенотипы, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: возможных, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: здравствуй, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: у, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: нормальное, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипертрихоз, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: паушальное, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: месте, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: Ав, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: дв, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: а, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: -с, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: Ре, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: ломался, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: нормальное, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развития, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: раз, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: развитие, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: кисти, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипертрихоза, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: смотреть, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: далее, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: без, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: гипер-, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: трикора, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: смотреть, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
Text: далее, Number: 28, Confidence: 0.96, Bbox: [20.88127326965332, 29.679471969604492, 2279.770751953125, 2588.644775390625]
