Text: 28.1), Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: ехав, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: формальное, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: кисти, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: нет, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: ехав, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: а, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: паушальные, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: вперт, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: чертиха, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: психоз, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: -де, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: дочери, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: -с, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: х, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: ехав, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: нормальное, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
Text: развитие, Number: 28, Confidence: 0.69, Bbox: [26.492902755737305, 2.914372444152832, 2280.516357421875, 2586.843505859375]
