Text: с, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: размером, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: и, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: ростом, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: человека, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: Чтобы, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: намять, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: кровь, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: на, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: такую, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: высоту, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: из-за, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: длинной, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: шел, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: большого, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: тела, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: артерии, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: имеют, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: высокое, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: давление, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: чтобы, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: выталкивать, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: кровь, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: и, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: осущ, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: осуществлять, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: провоспобтение, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: организма, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: Соединительная, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: ткань, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: вокруг, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: капилляров, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: имеет, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: большую, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: плотность, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: чем, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: у, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: человека, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: потому, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: что, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: конечности, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: жирами, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: заслони, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: и, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: им, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: путно, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: больше, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: питания, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: ите, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: больше, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: папиллярную, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: -с, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: Может, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: возникать, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: отечность, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: по, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: причинам, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: того, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
Text: что, Number: 22, Confidence: 0.31, Bbox: [19.521528244018555, 428.46978759765625, 2298.693603515625, 1392.0743408203125]
