Text: Все, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: белится, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: и, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: контрольные, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: измерительные, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: материальные, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: no22, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: -с, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: Такой, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: дотри, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: дательный, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: контроль, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: не, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: является, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: адекватно, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: потому, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: что, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: необходимо, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
Text: заражение, Number: 22, Confidence: 0.90, Bbox: [7.191205978393555, 64.01603698730469, 2283.025390625, 1226.90576171875]
