Text: в, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: бозе, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: и, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: заставляет, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: животное, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: следовать, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: этому, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: своим, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: желаниям, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: самопроизвольное, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: действие, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: Элементы, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: реакторной, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: дуги, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: условного, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: слюноотделительного, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: Зрительный, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: аппарат, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: в, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: поднял, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: доля, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: мозга, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: заты, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: Задняя, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: часть, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: мозга, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: наведшая, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: клозет, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: доме, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: людей, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: передняя, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: мозжечке, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: -с, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: сгонные, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: железы, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: сигонные, Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
Text: железы., Number: 24, Confidence: 0.50, Bbox: [4.787632942199707, 242.6977081298828, 2285.2119140625, 1035.3414306640625]
