Text: оооб, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: босс, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: бланки, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: И, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: КОНТРОЛЬНЫЕ, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: ИЗМЕРИТЕЛЬНЫЕ, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: Тельные, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: материалы, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: рассматриваются, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: комплекте, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -де, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: Независимая, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: переменная, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: лекарственного, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: препарата, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: в, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: клетку, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: человека, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: Зависимое, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: переменная, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: -с, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: количество, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
Text: частиц, Number: 24, Confidence: 0.44, Bbox: [13.775775909423828, 1785.76171875, 2309.848388671875, 2590.0]
