Text: передача, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: информации, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: по, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: возбудимым, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: рецепторам, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: в, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: зрительный, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: анализатор, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: коры, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: больших, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: полушарий, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: нервные, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: импульсы, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: через, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: мозг, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: идут, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: по, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: нервным, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: волокнам, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: к, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: слюнной, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
Text: железе, Number: 22, Confidence: 0.71, Bbox: [31.329936981201172, 5.061434268951416, 2309.21142578125, 503.7322692871094]
