Text: а, Number: none, Confidence: none, Bbox: none
Text: В, Number: none, Confidence: none, Bbox: none
Text: продолговатом, Number: none, Confidence: none, Bbox: none
Text: мозге, Number: none, Confidence: none, Bbox: none
Text: расположен, Number: none, Confidence: none, Bbox: none
Text: рефлекторный, Number: none, Confidence: none, Bbox: none
Text: центр, Number: none, Confidence: none, Bbox: none
Text: безусловного, Number: none, Confidence: none, Bbox: none
Text: глюпообзелительного, Number: none, Confidence: none, Bbox: none
Text: рефлекса, Number: none, Confidence: none, Bbox: none
Text: рефлекс, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: оргазма, Number: none, Confidence: none, Bbox: none
Text: на, Number: none, Confidence: none, Bbox: none
Text: разложитесь, Number: none, Confidence: none, Bbox: none
Text: инстинкт, Number: none, Confidence: none, Bbox: none
Text: отличник, Number: none, Confidence: none, Bbox: none
Text: б, Number: none, Confidence: none, Bbox: none
Text: раздражение, Number: none, Confidence: none, Bbox: none
Text: первых, Number: none, Confidence: none, Bbox: none
Text: связейорганы, Number: none, Confidence: none, Bbox: none
Text: чувства, Number: none, Confidence: none, Bbox: none
Text: сап, Number: none, Confidence: none, Bbox: none
Text: глаза, Number: none, Confidence: none, Bbox: none
Text: импульс, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: левое, Number: none, Confidence: none, Bbox: none
Text: полуплениеимпульс, Number: none, Confidence: none, Bbox: none
Text: в, Number: none, Confidence: none, Bbox: none
Text: правое, Number: none, Confidence: none, Bbox: none
Text: полушениепрозвищаться, Number: none, Confidence: none, Bbox: none
Text: люзгцентр, Number: none, Confidence: none, Bbox: none
Text: слюносителенияслюнные, Number: none, Confidence: none, Bbox: none
Text: фенотипу, Number: none, Confidence: none, Bbox: none
Text: дог, Number: none, Confidence: none, Bbox: none
Text: 9,01=0,0001, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: -с, Number: none, Confidence: none, Bbox: none
Text: Частота, Number: none, Confidence: none, Bbox: none
