Text: низание, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: Данный, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: бланк, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: использовать, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: только, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: после, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: заполнения, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: обоих, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: листов, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: основного, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: бланка, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: ответов, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: -с, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: а, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: поеным, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: развитием, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: кисти, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: и, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: гипертрихозом, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: возмо, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: ажно, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: Ребенок, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: с, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: генотипом, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: о, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: ха, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: получил, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: замету, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: от, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: матери, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: и, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: гамету, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: гуава, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: от, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: отца, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: полученную, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: в, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: результате, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
Text: кроссинговера, Number: 28, Confidence: 0.38, Bbox: [11.287975311279297, 4.909157752990723, 2294.086181640625, 542.6510620117188]
