Text: -с, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: При, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: постоянно, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: в, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: высоком, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: давлении, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: нагрузка, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: года, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: на, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: сосуды, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: увеличивается, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: и, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: со, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: временем, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: стенки, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: сосудов, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: нижних, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: конечностей, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: увеличатся, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: это, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: вызовет, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: отечность, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: no26., Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: -с, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: Изначально, Number: 22, Confidence: 0.50, Bbox: [22.361801147460938, 24.041227340698242, 2284.16357421875, 541.7474975585938]
Text: суммарные, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: обитали, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: на, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: одном, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: материке, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: -с, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: линючее, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: а, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: в, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
Text: области, Number: 23, Confidence: 0.35, Bbox: [16.77832794189453, 240.9298553466797, 2287.505859375, 2551.3046875]
