Text: полушарий, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: центр, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: где, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: образуется, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: условий, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: рефлекс, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: далее, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: в, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: часть, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: мозга, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: нервирующую, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: железы, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: потом, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: в, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: а, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: сами, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: слюнные, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: железы, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: -с, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
Text: -с, Number: 25, Confidence: 0.56, Bbox: [6.9437103271484375, 391.5786437988281, 2287.37158203125, 2590.0]
