Text: а, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: девочка, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: нормальное, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: развитие, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: кисти, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: и, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: без, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: гипертрихозе, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: -с, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: девочка, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: аномальное, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: развитие, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: кисти, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: и, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: без, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: гипертрихоз, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: ау, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: девочки, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: его, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: нет, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: так, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
Text: гипертрихоз, Number: 22, Confidence: 0.40, Bbox: [35.8009147644043, 0.9389767646789551, 2310.0, 757.1194458007812]
