Text: no27, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: гаметы, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: ар, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: a(p), Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: ar(p)ag(pg, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: -де, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: рапсод, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: над, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: формулы, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: равновесия, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: -с, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: а, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: pr{2pq+q==1, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: -с, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
Text: слижем, Number: 28, Confidence: 0.63, Bbox: [0.0, 2.343428134918213, 2310.0, 1273.654052734375]
