Text: борьбе, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: именно, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: с, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: этими, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: визовыми, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: капищами, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: порицательный, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: контроль, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: не, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: подвергать, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: зараженные, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: военным, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: оставить, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: киевски, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: человека, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: обработке, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: лекарстсредет, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: а, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: остальные, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: условия, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: неизменными, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: Задание, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: -с, Number: 22, Confidence: 0.38, Bbox: [42.660888671875, 1.3685743808746338, 2310.0, 489.6749572753906]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: нет, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: нельзя, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: так, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: как, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: комнат, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: имеет, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: во, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: вирусные, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: паклить, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: знаменательно, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: не, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: уменьшила, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: -с, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: скорость, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: разумно, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: жжения, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: высока, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: а, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: знаем, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: строе, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: приспособлены, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: меня, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: неблагоприятно, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
Text: условиям, Number: 24, Confidence: 0.34, Bbox: [22.749099731445312, 14.715988159179688, 2300.599609375, 1505.3333740234375]
