Text: 20.1)пакой, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: отрицательный, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: контроль, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: не, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: является, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: адекватным, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: так, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: как, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: при, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: добавлении, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: лекарственного, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: препарата, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: изменится, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: его, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: концентрация, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: клетке, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: что, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: может, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: привести, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: к, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: верным, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: показателям, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: потому, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: что, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: клетки, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: человека, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: способны, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
Text: привыкнуть, Number: 24, Confidence: 0.64, Bbox: [8.855256080627441, 1971.33642578125, 2286.59814453125, 2588.73291015625]
