Text: отпуска, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: заброской, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: Определим, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: фенотипа, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: здорового, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: дядя, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: частоту, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: встречаемость, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -де, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: а, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -де, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: Естественный, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: отбор, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: ре, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: жрец, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: рецессивных, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: гомоза, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: в, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: виду, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: того, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: они, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: менее, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: приспособлены, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: к, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: вещественноусловиям, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: обитания, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: 0,9999, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: за, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: вся, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
Text: -с, Number: 28, Confidence: 0.35, Bbox: [18.57402992248535, 171.89561462402344, 2310.0, 2505.1181640625]
